Supplementary_Table8:  NIPT data with different fetal concentrations,,,,,,,
,,,,,,,
,sample,chr13_count,chr13_prob,total_reads,coverage,ff,Z_score_CHR13
51,sample_51,509,0.01724839,29510,0.214963,0.04,18.83068689
52,sample_52,657,0.015119785,43453,0.3166,0.04,0.675956902
53,sample_53,896,0.01504896,59539,0.433824,0.04,0.071894664
54,sample_54,828,0.016012996,51708,0.376718,0.04,8.294095036
55,sample_55,602,0.014538253,41408,0.301745,0.04,-4.283881366
56,sample_56,660,0.015322468,43074,0.313875,0.04,2.40463215
57,sample_57,924,0.015404878,59981,0.437038,0.04,3.107500439
58,sample_58,586,0.014780437,39647,0.288888,0.04,-2.218311957
59,sample_59,610,0.015614201,39067,0.284654,0.04,4.892801958
60,sample_60,258,0.016921362,15247,0.111088,0.04,16.04148113
61,sample_61,906,0.01548268,58517,0.426324,0.04,3.771068562
62,sample_62,698,0.016504694,42291,0.308144,0.04,12.48774964
63,sample_63,157,0.011298215,13896,0.101266,0.04,-31.91794049
64,sample_64,876,0.0148053,59168,0.431151,0.04,-2.006258851
65,sample_65,689,0.015752892,43738,0.318655,0.04,6.075687618
66,sample_66,421,0.017232205,24431,0.178009,0.04,18.69264282
67,sample_67,742,0.015376964,48254,0.351617,0.04,2.869418393
68,sample_68,428,0.018860442,22693,0.165294,0.04,32.57975868
69,sample_69,298,0.01345737,22144,0.161352,0.04,-13.50266152
70,sample_70,359,0.015713223,22847,0.166451,0.04,5.737349401
71,sample_71,749,0.015579175,48077,0.350308,0.04,4.594066196
72,sample_72,324,0.014906832,21735,0.158385,0.04,-1.140298358
73,sample_73,839,0.015701026,53436,0.389299,0.04,5.633320192
74,sample_74,943,0.016514886,57100,0.416005,0.04,12.57468072
75,sample_75,1031,0.016002856,64426,0.469466,0.04,8.20761113
