,nipt_files,mapping
548,sample_597,sample_548
549,sample_598,sample_549
550,sample_599,sample_550
551,sample_600,sample_551
552,sample_602,sample_552
553,sample_603,sample_553
554,sample_604,sample_554
555,sample_605,sample_555
556,sample_606,sample_556
557,sample_607,sample_557
558,sample_608,sample_558
559,sample_613,sample_559
560,sample_614,sample_560
561,sample_615,sample_561
562,sample_616,sample_562
563,sample_617,sample_563
564,sample_618,sample_564
565,sample_619,sample_565
566,sample_620,sample_566
567,sample_621,sample_567
568,sample_622,sample_568
569,sample_623,sample_569
570,sample_624,sample_570
571,sample_625,sample_571
572,sample_626,sample_572
573,sample_627,sample_573
574,sample_628,sample_574
575,sample_629,sample_575
576,sample_630,sample_576
577,sample_631,sample_577
578,sample_632,sample_578
579,sample_633,sample_579
580,sample_634,sample_580
581,sample_635,sample_581
582,sample_636,sample_582
583,sample_637,sample_583
584,sample_638,sample_584
585,sample_641,sample_585
586,sample_642,sample_586
587,sample_643,sample_587
588,sample_644,sample_588
589,sample_645,sample_589
590,sample_646,sample_590
591,sample_647,sample_591
592,sample_648,sample_592
593,sample_649,sample_593
594,sample_650,sample_594
595,sample_651,sample_595
596,sample_652,sample_596
597,sample_653,sample_597
598,sample_654,sample_598
599,sample_655,sample_599
600,sample_656,sample_600
601,sample_657,sample_601
602,sample_658,sample_602
603,sample_659,sample_603
604,sample_660,sample_604
605,sample_661,sample_605
606,sample_662,sample_606
607,sample_663,sample_607
608,sample_664,sample_608
609,sample_665,sample_609
610,sample_666,sample_610
611,sample_667,sample_611
612,sample_668,sample_612
613,sample_669,sample_613
614,sample_670,sample_614
615,sample_671,sample_615
616,sample_672,sample_616
617,sample_673,sample_617
618,sample_674,sample_618
619,sample_675,sample_619
620,sample_676,sample_620
621,sample_677,sample_621
622,sample_678,sample_622
623,sample_679,sample_623
624,sample_680,sample_624
625,sample_681,sample_625
626,sample_682,sample_626
627,sample_683,sample_627
628,sample_686,sample_628
629,sample_687,sample_629
630,sample_688,sample_630
631,sample_689,sample_631
632,sample_690,sample_632
633,sample_691,sample_633
634,sample_692,sample_634
635,sample_693,sample_635
636,sample_694,sample_636
637,sample_695,sample_637
638,sample_696,sample_638
639,sample_697,sample_639
640,sample_698,sample_640
641,sample_699,sample_641
642,sample_700,sample_642
643,sample_701,sample_643
644,sample_702,sample_644
645,sample_703,sample_645
646,sample_704,sample_646
647,sample_705,sample_647
648,sample_706,sample_648
649,sample_707,sample_649
650,sample_711,sample_650
651,sample_712,sample_651
652,sample_713,sample_652
653,sample_714,sample_653
654,sample_715,sample_654
655,sample_716,sample_655
656,sample_717,sample_656
657,sample_718,sample_657
658,sample_720,sample_658
659,sample_721,sample_659
660,sample_722,sample_660
661,sample_723,sample_661
662,sample_724,sample_662
663,sample_725,sample_663
664,sample_726,sample_664
665,sample_727,sample_665
666,sample_728,sample_666
667,sample_729,sample_667
668,sample_730,sample_668
669,sample_731,sample_669
670,sample_732,sample_670
671,sample_733,sample_671
672,sample_734,sample_672
673,sample_735,sample_673
674,sample_736,sample_674
675,sample_737,sample_675
676,sample_738,sample_676
677,sample_739,sample_677
678,sample_740,sample_678
679,sample_741,sample_679
680,sample_742,sample_680
681,sample_743,sample_681
682,sample_744,sample_682
683,sample_745,sample_683
684,sample_746,sample_684
685,sample_747,sample_685
686,sample_748,sample_686
687,sample_749,sample_687
688,sample_750,sample_688
689,sample_751,sample_689
690,sample_752,sample_690
691,sample_753,sample_691
692,sample_754,sample_692
693,sample_755,sample_693
694,sample_758,sample_694
695,sample_759,sample_695
696,sample_760,sample_696
697,sample_761,sample_697
698,sample_762,sample_698
699,sample_763,sample_699
700,sample_764,sample_700
701,sample_765,sample_701
702,sample_766,sample_702
703,sample_767,sample_703
704,sample_768,sample_704
705,sample_769,sample_705
706,sample_770,sample_706
707,sample_771,sample_707
708,sample_772,sample_708
709,sample_773,sample_709
710,sample_774,sample_710
711,sample_775,sample_711
712,sample_776,sample_712
713,sample_777,sample_713
714,sample_778,sample_714
715,sample_779,sample_715
716,sample_780,sample_716
717,sample_781,sample_717
718,sample_782,sample_718
719,sample_783,sample_719
720,sample_784,sample_720
721,sample_785,sample_721
722,sample_786,sample_722
723,sample_787,sample_723
724,sample_788,sample_724
725,sample_790,sample_725
726,sample_791,sample_726
727,sample_792,sample_727
728,sample_793,sample_728
729,sample_794,sample_729
730,sample_795,sample_730
731,sample_796,sample_731
732,sample_797,sample_732
733,sample_798,sample_733
734,sample_799,sample_734
735,sample_800,sample_735
736,sample_801,sample_736
737,sample_802,sample_737
738,sample_803,sample_738
739,sample_804,sample_739
740,sample_805,sample_740
741,sample_806,sample_741
742,sample_807,sample_742
743,sample_808,sample_743
744,sample_809,sample_744
745,sample_810,sample_745
746,sample_811,sample_746
747,sample_812,sample_747
748,sample_813,sample_748
749,sample_814,sample_749
750,sample_815,sample_750
751,sample_816,sample_751
752,sample_817,sample_752
753,sample_819,sample_753
754,sample_820,sample_754
755,sample_821,sample_755
756,sample_822,sample_756
757,sample_823,sample_757
758,sample_824,sample_758
759,sample_827,sample_759
760,sample_828,sample_760
761,sample_829,sample_761
762,sample_830,sample_762
763,sample_831,sample_763
764,sample_832,sample_764
765,sample_833,sample_765
766,sample_834,sample_766
767,sample_835,sample_767
768,sample_836,sample_768
769,sample_837,sample_769
770,sample_838,sample_770
771,sample_839,sample_771
772,sample_840,sample_772
773,sample_841,sample_773
774,sample_842,sample_774
775,sample_843,sample_775
776,sample_844,sample_776
777,sample_845,sample_777
778,sample_846,sample_778
779,sample_848,sample_779
780,sample_849,sample_780
781,sample_850,sample_781
782,sample_852,sample_782
783,sample_853,sample_783
784,sample_854,sample_784
785,sample_855,sample_785
786,sample_856,sample_786
787,sample_857,sample_787
788,sample_858,sample_788
789,sample_859,sample_789
790,sample_860,sample_790
791,sample_861,sample_791
792,sample_862,sample_792
793,sample_863,sample_793
794,sample_864,sample_794
795,sample_866,sample_795
796,sample_867,sample_796
797,sample_868,sample_797
798,sample_869,sample_798
799,sample_870,sample_799
800,sample_871,sample_800
801,sample_872,sample_801
802,sample_873,sample_802
803,sample_874,sample_803
804,sample_875,sample_804
805,sample_876,sample_805
806,sample_877,sample_806
807,sample_878,sample_807
808,sample_879,sample_808
809,sample_880,sample_809
810,sample_881,sample_810
811,sample_882,sample_811
812,sample_883,sample_812
813,sample_884,sample_813
814,sample_885,sample_814
815,sample_886,sample_815
816,sample_887,sample_816
817,sample_888,sample_817
818,sample_889,sample_818
